,pelicula,movieId,user_id
0,Get Out ,168250,6
1,Denis Leary: No Cure for Cancer ,169912,6
2,Requiem for the American Dream ,151759,6
3,Buck Rogers in the 25th Century ,158388,6
4,Ethel & Ernest ,165489,6
5,Lion ,165551,6
6,Sing Street ,156387,6
7,Steins;Gate the Movie: The Burden of Déjà vu ,162982,6
8,The Witch ,140267,6
9,Everest ,142448,6
10,The Devil's Candy ,150254,6
0,Just Jim ,148592,100
1,How to Be Single ,148956,100
2,World of Tomorrow ,148881,100
3,Ultimate Avengers 2 ,170297,100
4,Texas - Doc Snyder hält die Welt in Atem ,157108,100
5,Mommy ,118896,100
6,The Hateful Eight ,128360,100
7,Rage of Honor ,104837,100
8,"What Happened, Miss Simone? ",127164,100
9,Cold Comes the Night ,109295,100
10,Divergent ,108190,100
0,"Bodies, Rest & Motion ",6510,350
1,Exit Wounds ,4224,350
2,Airplane! ,2791,350
3,"Paper, The ",371,350
4,Jaws ,1387,350
5,Superbad ,54503,350
6,Body ,161830,350
7,Barbershop: The Next Cut ,157270,350
8,"Heart in Winter, A (Un coeur en hiver) ",26796,350
9,Cyrus ,77421,350
10,Shattered ,6476,350
0,"Little Drummer Boy, The ",60803,120
1,Only Lovers Left Alive ,107771,120
2,Down in the Valley ,45382,120
3,Havoc ,41617,120
4,The BFG ,158830,120
5,The Handmaiden ,158783,120
6,SORI: Voice from the Heart ,158027,120
7,American Made ,176751,120
8,Blair Witch ,163937,120
9,Radio Day ,134109,120
10,The Loft ,127319,120
